imageAngle,Hough,projProf
-10,-10.000001,-10.000000
-9.9,-10.000001,-10.000000
-9.8,-10.000001,-10.000000
-9.7,-10.000001,-10.000000
-9.6,-10.000001,-10.000000
-9.5,-10.000001,-9.000000
-9.4,-8.999999,-9.000000
-9.3,-8.999999,-9.000000
-9.2,-8.999999,-9.000000
-9.1,-8.999999,-9.000000
-9,-8.999999,-9.000000
-8.9,-8.999999,-9.000000
-8.8,-8.999999,-9.000000
-8.7,-8.999999,-9.000000
-8.6,-8.999999,-9.000000
-8.5,-8.999999,-8.000000
-8.4,-7.999998,-8.000000
-8.3,-7.999998,-8.000000
-8.2,-7.999998,-8.000000
-8.1,-7.999998,-8.000000
-8,-7.999998,-8.000000
-7.9,-7.999998,-8.000000
-7.8,-7.999998,-8.000000
-7.7,-7.999998,-8.000000
-7.6,-7.999998,-8.000000
-7.5,-7.999998,-7.000000
-7.4,-6.999997,-7.000000
-7.3,-6.999997,-7.000000
-7.2,-6.999997,-7.000000
-7.1,-6.999997,-7.000000
-7,-6.999997,-7.000000
-6.9,-6.999997,-7.000000
-6.8,-6.999997,-7.000000
-6.7,-6.999997,-7.000000
-6.6,-6.999997,-7.000000
-6.5,-6.999997,-6.000000
-6.4,-6.000003,-6.000000
-6.3,-6.000003,-6.000000
-6.2,-6.000003,-6.000000
-6.1,-6.000003,-6.000000
-6,-6.000003,-6.000000
-5.9,-6.000003,-6.000000
-5.8,-6.000003,-6.000000
-5.7,-6.000003,-6.000000
-5.6,-6.000003,-6.000000
-5.5,-5.000001,-5.000000
-5.4,-5.000001,-5.000000
-5.3,-5.000001,-5.000000
-5.2,-5.000001,-5.000000
-5.1,-5.000001,-5.000000
-5,-5.000001,-5.000000
-4.9,-5.000001,-5.000000
-4.8,-5.000001,-5.000000
-4.7,-5.000001,-5.000000
-4.6,-5.000001,-5.000000
-4.5,-5.000001,-4.000000
-4.4,-4.000000,-4.000000
-4.3,-4.000000,-4.000000
-4.2,-4.000000,-4.000000
-4.1,-4.000000,-4.000000
-4,-4.000000,-4.000000
-3.9,-4.000000,-4.000000
-3.8,-4.000000,-4.000000
-3.7,-4.000000,-4.000000
-3.6,-4.000000,-4.000000
-3.5,-4.000000,-4.000000
-3.4,-2.999999,-3.000000
-3.3,-2.999999,-3.000000
-3.2,-2.999999,-3.000000
-3.1,-2.999999,-3.000000
-3,-2.999999,-3.000000
-2.9,-2.999999,-3.000000
-2.8,-2.999999,-3.000000
-2.7,-2.999999,-3.000000
-2.6,-2.999999,-3.000000
-2.5,-2.999999,-2.000000
-2.4,-1.999998,-2.000000
-2.3,-1.999998,-2.000000
-2.2,-1.999998,-2.000000
-2.1,-1.999998,-2.000000
-2,-1.999998,-2.000000
-1.9,-1.999998,-2.000000
-1.8,-1.999998,-2.000000
-1.7,-1.999998,-2.000000
-1.6,-1.999998,-2.000000
-1.5,-1.999998,-2.000000
-1.4,-0.999997,-1.000000
-1.3,-0.999997,-1.000000
-1.2,-0.999997,-1.000000
-1.1,-0.999997,-1.000000
-1,-0.999997,-1.000000
-0.9,-0.999997,-1.000000
-0.8,-0.999997,-1.000000
-0.7,-0.999997,-1.000000
-0.6,-0.999997,-1.000000
-0.5,-0.999997,-0.000000
-0.4,-0.000003,-0.000000
-0.3,-0.000003,-1.000000
-0.2,-0.000003,-0.000000
-0.1,-0.000003,-0.000000
0.1,-0.000003,-0.000000
0.2,-0.000003,-0.000000
0.3,-0.000003,1.000000
0.4,-0.000003,-0.000000
0.5,-0.000003,-0.000000
0.6,0.999999,1.000000
0.7,0.999999,1.000000
0.8,0.999999,1.000000
0.9,0.999999,1.000000
1,0.999999,1.000000
1.1,0.999999,1.000000
1.2,0.999999,1.000000
1.3,0.999999,1.000000
1.4,0.999999,1.000000
1.5,0.999999,2.000000
1.6,2.000000,2.000000
1.7,2.000000,2.000000
1.8,2.000000,2.000000
1.9,2.000000,2.000000
2,2.000000,2.000000
2.1,2.000000,2.000000
2.2,2.000000,2.000000
2.3,2.000000,2.000000
2.4,2.000000,2.000000
2.5,2.000000,2.000000
2.6,3.000001,3.000000
2.7,3.000001,3.000000
2.8,3.000001,3.000000
2.9,3.000001,3.000000
3,3.000001,3.000000
3.1,3.000001,3.000000
3.2,3.000001,3.000000
3.3,3.000001,3.000000
3.4,3.000001,3.000000
3.5,4.000002,4.000000
3.6,4.000002,4.000000
3.7,4.000002,4.000000
3.8,4.000002,4.000000
3.9,4.000002,4.000000
4,4.000002,4.000000
4.1,4.000002,4.000000
4.2,4.000002,4.000000
4.3,4.000002,4.000000
4.4,4.000002,4.000000
4.5,5.000003,4.000000
4.6,5.000003,5.000000
4.7,5.000003,5.000000
4.8,5.000003,5.000000
4.9,5.000003,5.000000
5,5.000003,5.000000
5.1,5.000003,5.000000
5.2,5.000003,5.000000
5.3,5.000003,5.000000
5.4,5.000003,5.000000
5.5,5.000003,6.000000
5.6,5.999998,6.000000
5.7,5.999998,6.000000
5.8,5.999998,6.000000
5.9,5.999998,6.000000
6,5.999998,6.000000
6.1,5.999998,6.000000
6.2,5.999998,6.000000
6.3,5.999998,6.000000
6.4,5.999998,6.000000
6.5,5.999998,6.000000
6.6,6.999999,7.000000
6.7,6.999999,7.000000
6.8,6.999999,7.000000
6.9,6.999999,7.000000
7,6.999999,7.000000
7.1,6.999999,7.000000
7.2,6.999999,7.000000
7.3,6.999999,7.000000
7.4,6.999999,7.000000
7.5,8.000000,8.000000
7.6,8.000000,8.000000
7.7,8.000000,8.000000
7.8,8.000000,8.000000
7.9,8.000000,8.000000
8,8.000000,8.000000
8.1,8.000000,8.000000
8.2,8.000000,8.000000
8.3,8.000000,8.000000
8.4,8.000000,8.000000
8.5,9.000001,9.000000
8.6,9.000001,9.000000
8.7,9.000001,9.000000
8.8,9.000001,9.000000
8.9,9.000001,9.000000
9,9.000001,9.000000
9.1,9.000001,9.000000
9.2,9.000001,9.000000
9.3,9.000001,9.000000
9.4,9.000001,9.000000
9.5,9.000001,10.000000
9.6,10.000002,10.000000
9.7,10.000002,10.000000
9.8,10.000002,10.000000
9.9,10.000002,10.000000
time : 79.548